seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770001,1,A,100,100,100,100,100,100,5,0,0,0,1,1,1
770001,1,B,100,100,100,100,100,100,5,0,0,0,1,1,-1
770001,2,A,100,90,100,100,100,90,6,0,1,1,1,1,1
770001,2,B,100,100,90,100,90,100,6,0,1,1,1,1,-1
770001,3,A,100,90,100,100,90,100,5,0,2,2,1,1,1
770001,3,B,100,90,100,100,90,100,5,0,2,2,1,1,-1
770001,4,A,100,90,90,100,90,95,7,0,3,3,1,1,1
770001,4,B,100,90,95,100,90,90,7,0,3,3,1,1,-1
770001,5,A,100,90,85,100,90,90,7,0,4,4,1,1,1
770001,5,B,100,90,90,100,90,85,7,0,4,4,1,1,-1
770001,6,A,100,90,80,100,80,100,5,0,0,5,1,1,1
770001,6,B,100,80,100,100,90,80,5,0,5,0,1,1,-1
770001,7,A,100,80,90,100,80,100,6,0,1,0,1,1,1
770001,7,B,100,80,100,100,80,90,6,0,0,1,1,1,-1
770001,8,A,100,80,85,100,80,80,5,0,2,2,1,1,1
770001,8,B,100,80,80,100,80,85,5,0,2,2,1,1,-1
770001,9,A,100,80,80,100,80,100,6,0,3,2,1,1,1
770001,9,B,100,80,100,100,80,80,6,0,2,3,1,1,-1
770001,10,A,100,70,90,100,70,100,6,0,4,3,1,1,1
770001,10,B,100,70,100,100,70,90,6,0,3,4,1,1,-1
770001,11,A,100,70,100,100,85,100,4,1,0,4,1,1,1
770001,11,B,100,85,100,100,70,100,4,1,4,0,1,1,-1
770001,12,A,100,70,75,100,85,100,5,1,2,5,1,1,1
770001,12,B,100,85,100,100,70,75,5,1,5,2,1,1,-1
770001,13,A,100,60,75,100,85,100,4,1,4,1,1,1,1
770001,13,B,100,85,100,100,60,75,4,1,1,4,1,1,-1
770001,14,A,100,60,90,100,55,85,4,1,0,3,1,1,1
770001,14,B,100,55,85,100,60,90,4,1,3,0,1,1,-1
770001,15,A,100,60,90,100,70,85,3,1,1,4,1,1,1
770001,15,B,100,70,85,100,60,90,3,1,4,1,1,1,-1
770001,16,A,100,60,80,100,60,100,3,1,3,0,1,1,1
770001,16,B,100,60,100,100,60,80,3,1,0,3,1,1,-1
770001,17,A,100,60,45,100,60,90,4,1,5,1,1,1,1
770001,17,B,100,60,90,100,60,45,4,1,1,5,1,1,-1
770001,18,A,100,60,65,100,60,80,4,1,0,2,1,1,1
770001,18,B,100,60,80,100,60,65,4,1,2,0,1,1,-1
770001,19,A,100,60,55,100,50,65,4,1,1,4,1,1,1
770001,19,B,100,50,65,100,60,55,4,1,4,1,1,1,-1
770001,20,A,100,60,75,100,50,75,2,1,1,0,1,1,1
770001,20,B,100,50,75,100,60,75,2,1,0,1,1,1,-1
770001,21,A,100,60,60,100,50,50,3,2,3,2,1,1,1
770001,21,B,100,50,50,100,60,60,3,2,2,3,1,1,-1
770001,22,A,100,50,40,100,50,40,3,2,5,4,1,1,1
770001,22,B,100,50,40,100,50,40,3,2,4,5,1,1,-1
770001,23,A,100,65,50,100,50,50,2,2,0,0,1,0,1
770001,23,B,100,50,50,100,65,50,2,2,0,0,0,1,-1
770001,24,A,100,25,35,100,40,35,1,2,2,2,1,0,1
770001,24,B,100,40,35,100,25,35,1,2,2,2,0,1,-1
770001,25,A,77,25,20,100,40,0,2,2,4,4,0,0,1
770001,25,B,100,40,0,77,25,20,2,2,4,4,0,0,-1
770001,26,A,77,15,50,100,40,20,2,2,0,4,0,0,1
